orig_pas_key	chrom	start	end	strand	unified_pas_id	snap_distance_bp	gene_id	gene_distance_bp	tier	last_stage	dropped_at	drop_reason	pas_uid
dsA:+:1	chr1	200999	201000	+	u1	3	ENSDG00000000	20	TIER_1	clustering			chr1:200999:+
dsA:+:2	chr1	201239	201240	+	u2	2	ENSDG00000000	260	TIER_1	clustering			chr1:201239:+
dsA:+:3	chr1	201479	201480	+	u3	18	ENSDG00000000	500	TIER_2	clustering			chr1:201479:+
dsA:-:4	chr2	220999	221000	-	u4	10	ENSDG00000001	20	TIER_1	clustering			chr2:220999:-
dsA:-:5	chr2	221479	221480	-	u5	20	ENSDG00000001	500	TIER_2	clustering			chr2:221479:-
dsA:+:6	chr3	240999	241000	+	u6	2	ENSDG00000002	20	TIER_1	clustering			chr3:240999:+
dsA:+:7	chr3	241479	241480	+	u7	22	ENSDG00000002	500	TIER_2	clustering			chr3:241479:+
dsA:-:8	chr4	260999	261000	-	u8	4	ENSDG00000003	20	TIER_1	clustering			chr4:260999:-
dsA:-:9	chr4	261479	261480	-	u9	11	ENSDG00000003	500	TIER_2	clustering			chr4:261479:-
dsA:+:10	chr5	280999	281000	+	u10	24	ENSDG00000004	20	TIER_1	clustering			chr5:280999:+
dsA:+:11	chr5	281239	281240	+	u11	4	ENSDG00000004	260	TIER_1	clustering			chr5:281239:+
dsA:+:12	chr5	281479	281480	+	u12	17	ENSDG00000004	500	TIER_2	clustering			chr5:281479:+
dsA:-:13	chr6	300999	301000	-	u13	18	ENSDG00000005	20	TIER_1	clustering			chr6:300999:-
dsA:-:14	chr6	301479	301480	-	u14	11	ENSDG00000005	500	TIER_2	clustering			chr6:301479:-
dsA:+:15	chr1	320999	321000	+	u15	3	ENSDG00000006	20	TIER_1	clustering			chr1:320999:+
dsA:+:16	chr1	321479	321480	+	u16	14	ENSDG00000006	500	TIER_2	clustering			chr1:321479:+
dsA:-:17	chr2	340999	341000	-	u17	11	ENSDG00000007	20	TIER_1	clustering			chr2:340999:-
dsA:-:18	chr2	341479	341480	-	u18	22	ENSDG00000007	500	TIER_2	clustering			chr2:341479:-
dsA:+:19	chr3	360999	361000	+	u19	17	ENSDG00000008	20	TIER_1	clustering			chr3:360999:+
dsA:+:20	chr3	361239	361240	+	u20	9	ENSDG00000008	260	TIER_1	clustering			chr3:361239:+
dsA:+:21	chr3	361479	361480	+	u21	3	ENSDG00000008	500	TIER_2	clustering			chr3:361479:+
dsA:-:22	chr4	380999	381000	-	u22	15	ENSDG00000009	20	TIER_1	clustering			chr4:380999:-
dsA:-:23	chr4	381479	381480	-	u23	8	ENSDG00000009	500	TIER_2	clustering			chr4:381479:-
dsA:+:24	chr5	400999	401000	+	u24	17	ENSDG00000010	20	TIER_1	clustering			chr5:400999:+
dsA:+:25	chr5	401479	401480	+	u25	21	ENSDG00000010	500	TIER_2	clustering			chr5:401479:+
dsA:-:26	chr6	420999	421000	-	u26	10	ENSDG00000011	20	TIER_1	clustering			chr6:420999:-
dsA:-:27	chr6	421479	421480	-	u27	22	ENSDG00000011	500	TIER_2	clustering			chr6:421479:-
dsA:+:28	chr1	440999	441000	+	u28	13	ENSDG00000012	20	TIER_1	clustering			chr1:440999:+
dsA:+:29	chr1	441239	441240	+	u29	14	ENSDG00000012	260	TIER_1	clustering			chr1:441239:+
dsA:+:30	chr1	441479	441480	+	u30	19	ENSDG00000012	500	TIER_2	clustering			chr1:441479:+
dsA:-:31	chr2	460999	461000	-	u31	20	ENSDG00000013	20	TIER_1	clustering			chr2:460999:-
